Sl. No.,State/UT,No of Well Analysed,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 0 to 2 - No,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 0 to 2 - %,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 2 to 5 - No,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 2 to 5 - %,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 5 to 10 - No,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 5 to 10 - %,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 10 to 20 - No,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 10 to 20 - %,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 20 to 40 - No,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of 20 to 40 - %,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of > 40 - No,No. Percentage of Wells Showing Depth to Water Level (MBGL) in the Range of > 40 - %
1,Andhra Pradesh,809,109,13.5,382,47.2,241,29.8,54,6.7,16,2,7,0.9
2,Arunachal Pradesh,28,12,42.9,8,28.6,7,25,1,3.6,0,0,0,0
3,Assam,318,125,39.3,156,49.1,30,9.4,6,1.9,1,0.3,0,0
4,Bihar,784,116,14.8,525,67,139,17.7,4,0.5,0,0,0,0
5,Chhattisgarh,1046,172,16.4,628,60,228,21.8,16,1.5,2,0.2,0,0
6,Goa,82,17,20.7,38,46.3,21,25.6,6,7.3,0,0,0,0
7,Gujarat,753,105,13.9,305,40.5,215,28.6,96,12.7,26,3.5,6,0.8
8,Haryana,985,71,7.2,160,16.2,154,15.6,198,20.1,253,25.7,149,15.1
9,Himachal Pradesh,171,30,17.5,69,40.4,30,17.5,26,15.2,12,7,4,2.3
10,Jharkhand,396,51,12.9,216,54.5,114,28.8,8,2,7,1.8,0,0
11,Karnataka,1264,228,18,504,39.9,454,35.9,75,5.9,3,0.2,0,0
12,Kerala,1377,323,23.5,477,34.6,485,35.2,85,6.2,5,0.4,2,0.1
13,Madhya Pradesh,1470,151,10.3,654,44.5,501,34.1,147,10,12,0.8,5,0.3
14,Maharashtra,1658,248,15,706,42.6,526,31.7,141,8.5,32,1.9,5,0.3
15,Meghalaya,51,23,45.1,27,52.9,1,2,0,0,0,0,0,0
16,Mizoram,2,2,100,0,0,0,0,0,0,0,0,0,0
17,Nagaland,10,0,0,6,60,3,30,1,10,0,0,0,0
18,Odisha,1370,528,38.5,694,50.7,142,10.4,6,0.4,0,0,0,0
19,Punjab,283,29,10.2,55,19.4,34,12,65,23,81,28.6,19,6.7
20,Rajasthan,1061,27,2.5,171,16.1,195,18.4,234,22.1,194,18.3,240,22.6
21,Tamil Nadu,857,186,21.7,359,41.9,239,27.9,60,7,11,1.3,2,0.2
22,Telangana,623,58,9.3,278,44.6,204,32.7,72,11.6,9,1.4,2,0.3
23,Tripura,96,26,27.1,57,59.4,13,13.5,0,0,0,0,0,0
24,Uttar Pradesh,1092,179,16.4,481,44,265,24.3,133,12.2,30,2.7,4,0.4
25,Uttarakhand,171,17,9.9,48,28.1,35,20.5,31,18.1,25,14.6,15,8.8
26,West Bengal,736,224,30.4,413,56.1,85,11.5,14,1.9,0,0,0,0
27,Andaman and Nicobar Islands,111,103,92.8,8,7.2,0,0,0,0,0,0,0,0
28,Chandigarh,14,0,0,5,35.7,2,14.3,2,14.3,4,28.6,1,7.1
29,Dadra and Nagar Haveli and Daman and Diu,30,7,23.3,17,56.7,6,20,0,0,0,0,0,0
30,Delhi,119,9,7.6,30,25.2,39,32.8,26,21.8,11,9.2,4,3.4
31,Jammu and Kashmir,385,96,24.9,173,44.9,59,15.3,27,7,21,5.5,9,2.3
32,Puducherry,9,2,22.2,5,55.6,2,22.2,0,0,0,0,0,0
Total,Total,18161,3274,18,7655,42.2,4469,24.6,1534,8.4,755,4.2,474,2.6
